RestoreOp Restore
RestoreSliceOp RestoreSlice
Conv2DCustomBackpropFilterOp Conv2DBackpropFilter
Conv2DBackpropFilterOp Conv2DBackpropFilter
UniqueOpGPU UniqueWithCounts
KmeansPlusPlusInitializationOp KmeansPlusPlusInitialization
KMC2ChainInitializationOp KMC2ChainInitialization
NearestNeighborsOp NearestNeighbors
SelectOp Select
SelectV2Op SelectV2
RaggedGatherOp RaggedGather
StageOp Stage
UnstageOp Unstage
StagePeekOp StagePeek
StageSizeOp StageSize
StageClearOp StageClear
RequantizationRangeOp RequantizationRange
RandomPoissonOp RandomPoissonV2
DecodeRawOp DecodeRaw
QuantizedReshapeOp QuantizedReshape
WhereCPUOp Where
WhereGPUOp Where
Conv2DBackpropInputOp Conv2DBackpropInput
ArgMaxOp ArgMax
ArgMinOp ArgMin
PackOp Pack
BinaryOp Mul
StringNGramsOp StringNGrams
TextLineReaderOp TextLineReaderV2
QuantizeAndDequantizeV2Op QuantizeAndDequantizeV4
QuantizeAndDequantizeV3Op QuantizeAndDequantizeV3
QuantizeAndDequantizeV4GradientOp QuantizeAndDequantizeV4Grad
QuantizeAndDequantizeOp QuantizeAndDequantize
BucketizeOp Bucketize
StringStripOp StringStrip
BiasOp BiasAddV1
BiasGradOp BiasAddGrad
QuantizedAvgPoolingOp QuantizedAvgPool
QuantizedMaxPoolingOp QuantizedMaxPool
ReductionOp EuclideanNorm
QuantizedReluOp QuantizedRelu
QuantizedRelu6Op QuantizedRelu6
SoftmaxOp LogSoftmax
RaggedRangeOp RaggedRange
ApplyGradientDescentOp ResourceApplyGradientDescent
ApplyAdadeltaOp ResourceApplyAdadelta
SparseApplyAdadeltaOp ResourceSparseApplyAdadelta
ApplyProximalGradientDescentOp ResourceApplyProximalGradientDescent
SparseApplyProximalGradientDescentOp ResourceSparseApplyProximalGradientDescent
ApplyAdagradOp ResourceApplyAdagrad
ApplyAdagradV2Op ResourceApplyAdagradV2
ApplyProximalAdagradOp ResourceApplyProximalAdagrad
SparseApplyAdagradOp ResourceSparseApplyAdagrad
SparseApplyAdagradV2Op ResourceSparseApplyAdagradV2
SparseApplyProximalAdagradOp ResourceSparseApplyProximalAdagrad
ApplyAdagradDAOp ResourceApplyAdagradDA
SparseApplyAdagradDAOp ResourceSparseApplyAdagradDA
ApplyFtrlOp ResourceApplyFtrlV2
SparseApplyFtrlOp ResourceSparseApplyFtrlV2
ApplyMomentumOp ResourceApplyMomentum
SparseApplyMomentumOp ResourceSparseApplyMomentum
ApplyKerasMomentumOp ResourceApplyKerasMomentum
SparseApplyKerasMomentumOp ResourceSparseApplyKerasMomentum
ApplyAdamOp ResourceApplyAdam
ApplyAdamWithAmsgradOp ResourceApplyAdamWithAmsgrad
ApplyAdaMaxOp ResourceApplyAdaMax
ApplyRMSPropOp ResourceApplyRMSProp
ApplyCenteredRMSPropOp ResourceApplyCenteredRMSProp
SparseApplyRMSPropOp ResourceSparseApplyRMSProp
SparseApplyCenteredRMSPropOp ResourceSparseApplyCenteredRMSProp
ApplyAddSignOp ResourceApplyAddSign
ApplyPowerSignOp ResourceApplyPowerSign
RandomBinomialOp StatefulRandomBinomial
StatelessRandomBinomialOp StatelessRandomBinomial
PopulationCountOp PopulationCount
SummaryTensorOpV2 TensorSummaryV2
SummaryTensorOp TensorSummary
UnaryOp Neg
GatherOp GatherV2
SaveOp Save
SaveSlicesOp SaveSlices
ShardedFilenameOp ShardedFilename
ShardedFilespecOp ShardedFilespec
StatefulMultinomialOp Multinomial
StatelessMultinomialOp StatelessMultinomial
StatefulRandomOpV2 StatefulTruncatedNormal
StatefulRandomOp StatefulStandardNormal
StatefulUniformIntOp StatefulUniformInt
StatefulUniformFullIntOp StatefulUniformFullInt
RngSkipOp RngReadAndSkip
NonDeterministicIntsOp NonDeterministicInts
LMDBReaderOp LMDBReader
UnpackOp Unpack
SubstrOp Substr
UnsortedSegmentJoinOp UnsortedSegmentJoin
ParallelConcatUpdate _ParallelConcatUpdate
ParallelConcatStart _ParallelConcatStart
FailureKernel ParallelConcat
InplaceOp InplaceSub
CopyOp CopyHost
EmptyOp Empty
DepthwiseConv2dNativeOp DepthwiseConv2dNative
DepthwiseConv2dGroupedConvOp DepthwiseConv2dNative
BincountOp Bincount
DenseBincountOp DenseBincount
SparseBincountOp SparseBincount
RaggedBincountOp RaggedBincount
SkipgramOp Skipgram
NegTrainOp NegTrain
StatelessRandomGammaOp StatelessRandomGammaV2
PassOn _ArrayToList
RemoteCallOp RemoteCall
CpuCastOp _HostCast
GpuCastOp Cast
TensorArrayOp TensorArrayV3
TensorArrayGradOp TensorArrayGradWithShape
TensorArrayWriteOp TensorArrayWriteV3
TensorArrayReadOp TensorArrayReadV3
TensorArrayPackOrGatherOp TensorArrayGatherV3
TensorArrayConcatOp TensorArrayConcatV3
TensorArrayUnpackOrScatterOp TensorArrayScatterV3
TensorArraySplitOp TensorArraySplitV3
TensorArraySizeOp TensorArraySizeV3
TensorArrayCloseOp TensorArrayCloseV3
QuantizedResizeBilinearOp QuantizedResizeBilinear
SparseSoftmaxOp SparseSoftmax
L2LossOp L2Loss
DebugIdentityOp DebugIdentity
DebugNanCountOp DebugNanCount
DebugNumericSummaryOp DebugNumericSummary
DebugIdentityV2Op DebugIdentityV2
DebugNumericSummaryV2Op DebugNumericSummaryV2
ListDiffOp ListDiff
IdentityOp _EagerConst
InitializeTableOp InitializeTableV2
InitializeTableFromTextFileOp InitializeTableFromTextFileV2
GuaranteeConstOp GuaranteeConst
AddNOp AddN
IsotonicRegressionOp IsotonicRegression
DeserializeSparseOp DeserializeManySparse
TensorListStack TensorListStack
TensorListGather TensorListGather
TensorListGetItem TensorListGetItem
TensorListPopBack TensorListPopBack
TensorListConcat TensorListConcatV2
TensorListPushBackBatch TensorListPushBackBatch
TensorListFromTensor TensorListFromTensor
TensorListScatter TensorListScatterV2
TensorListScatterIntoExistingList TensorListScatterIntoExistingList
TensorListSplit TensorListSplit
DilationOp Dilation2D
DilationBackpropInputOp Dilation2DBackpropInput
DilationBackpropFilterOp Dilation2DBackpropFilter
GatherNdOp GatherNd
ReverseOp Reverse
ReverseV2Op ReverseV2
BetaincOp Betainc
IfOp StatelessIf
CaseOp StatelessCase
WhileOp StatelessWhile
ToBoolOp ToBool
ForOp For
FakeParamOp FakeParam
DeviceIndexOp DeviceIndex
EmptyTensorList EmptyTensorList
TensorListPushBack TensorListPushBack
TensorListLength TensorListLength
TensorListElementShape TensorListElementShape
TensorListReserve TensorListReserve
TensorListResize TensorListResize
TensorListSetItem TensorListSetItem
TensorListConcatLists TensorListConcatLists
AccumulatorSetGlobalStepOp AccumulatorSetGlobalStep
ResourceAccumulatorSetGlobalStepOp ResourceAccumulatorSetGlobalStep
AccumulatorNumAccumulatedOp AccumulatorNumAccumulated
ResourceAccumulatorNumAccumulatedOp ResourceAccumulatorNumAccumulated
FIFOQueueOp FIFOQueueV2
RaggedTensorToTensorOp RaggedTensorToTensor
AvgPoolingOp AvgPool
AvgPoolingGradOp AvgPoolGrad
AvgPoolingGradOpCustomGPUKernel AvgPoolGrad
MatchingFilesOp MatchingFiles
AddSparseToTensorsMapOp AddSparseToTensorsMap
AddManySparseToTensorsMapOp AddManySparseToTensorsMap
TakeManySparseFromTensorsMapOp TakeManySparseFromTensorsMap
FactOpKernel1 Fact
FactOpKernel2 Fact
RecordInputOp RecordInput
SparseTensorDenseAddOp SparseTensorDenseAdd
StringLowerOp StringLower
FractionalAvgPoolOp FractionalAvgPool
FractionalAvgPoolGradOp FractionalAvgPoolGrad
Conv3DOp Conv3D
PartitionedCallOp StatefulPartitionedCall
ParameterizedTruncatedNormalOp ParameterizedTruncatedNormal
StatelessParameterizedTruncatedNormal StatelessParameterizedTruncatedNormal
UnicodeTranscodeOp UnicodeTranscode
UnicodeDecodeOp UnicodeDecode
UnicodeDecodeWithOffsetsOp UnicodeDecodeWithOffsets
UnicodeEncodeOp UnicodeEncode
MfccOp Mfcc
ClipOp ClipByValue
SoftmaxOpGPU LogSoftmax
QuantizedBiasAddOp QuantizedBiasAdd
CheckNumericsOp CheckNumerics
CheckNumericsV2Op CheckNumericsV2
OneHotOp OneHot
PhiloxRandomOp TruncatedNormal
RandomGammaOp RandomGamma
RandomUniformIntOp RandomUniformInt
SparseSplitOp SparseSplit
BatchFunctionKernel BatchFunction
BatchKernel Batch
UnbatchKernel Unbatch
UnbatchGradKernel UnbatchGrad
CrossOp Cross
TFRecordReaderOp TFRecordReaderV2
Conv2DOp Conv2D
FakeQuantWithMinMaxArgsOp FakeQuantWithMinMaxArgs
FakeQuantWithMinMaxArgsGradientOp FakeQuantWithMinMaxArgsGradient
FakeQuantWithMinMaxVarsOp FakeQuantWithMinMaxVars
FakeQuantWithMinMaxVarsGradientOp FakeQuantWithMinMaxVarsGradient
FakeQuantWithMinMaxVarsPerChannelOp FakeQuantWithMinMaxVarsPerChannel
FakeQuantWithMinMaxVarsPerChannelGradientOp FakeQuantWithMinMaxVarsPerChannelGradient
ResourceHandleOp MutexV2
CreateSummaryFileWriterOp CreateSummaryFileWriter
CreateSummaryDbWriterOp CreateSummaryDbWriter
FlushSummaryWriterOp FlushSummaryWriter
CloseSummaryWriterOp CloseSummaryWriter
WriteSummaryOp WriteSummary
WriteRawProtoSummaryOp WriteRawProtoSummary
ImportEventOp ImportEvent
WriteScalarSummaryOp WriteScalarSummary
WriteHistogramSummaryOp WriteHistogramSummary
WriteImageSummaryOp WriteImageSummary
WriteAudioSummaryOp WriteAudioSummary
WriteGraphSummaryOp WriteGraphSummary
SparseDenseBinaryOpShared SparseDenseCwiseAdd
ConcatOp Concat
ConcatV2Op ConcatV2
ConcatOffsetOp ConcatOffset
DynamicPartitionOp DynamicPartition
FusedBatchNormOp FusedBatchNormV2
FusedBatchNormGradOp FusedBatchNormGradV2
FusedBatchNormOpV3 FusedBatchNormV3
FusedBatchNormGradOpV3 FusedBatchNormGradV3
FusedBatchNormOpEx _FusedBatchNormEx
QuantizedInstanceNorm QuantizedInstanceNorm
QuantizedBatchNormOp QuantizedBatchNormWithGlobalNormalization
StringToNumberOp StringToNumber
QuantizedConv2DOp QuantizedConv2D
PriorityQueueOp PriorityQueueV2
SparseCrossOp SparseCross
SparseCrossV2Op SparseCrossV2
SparseCrossHashedOp SparseCrossHashed
BarrierOp Barrier
InsertManyOp BarrierInsertMany
TakeManyOp BarrierTakeMany
BarrierCloseOp BarrierClose
BarrierIncompleteSizeOp BarrierIncompleteSize
BarrierReadySizeOp BarrierReadySize
EmptyTensorMap EmptyTensorMap
TensorMapSize TensorMapSize
TensorMapLookup TensorMapLookup
TensorMapInsert TensorMapInsert
TensorMapErase TensorMapErase
TensorMapHasKey TensorMapHasKey
TensorMapStackKeys TensorMapStackKeys
SpaceToDepthOp SpaceToDepth
DecodeCSVOp DecodeCSV
RegexFullMatchOp RegexFullMatch
StaticRegexFullMatchOp StaticRegexFullMatch
BroadcastToOp BroadcastTo
VariableOp VariableV2
TemporaryVariableOp TemporaryVariable
DestroyTemporaryVariableOp DestroyTemporaryVariable
IsVariableInitializedOp IsVariableInitialized
QuantizeDownAndShrinkRangeOp QuantizeDownAndShrinkRange
CTCLossOp CTCLoss
CTCLossOpGPU CTCLossV2
BCastArgsOp BroadcastArgs
BCastGradArgsOp BroadcastGradientArgs
DepthwiseConv2dNativeBackpropInputOp DepthwiseConv2dNativeBackpropInput
DepthwiseConv2dGroupedConvBackpropInputOp DepthwiseConv2dNativeBackpropInput
DepthwiseConv2dNativeBackpropFilterOp DepthwiseConv2dNativeBackpropFilter
DepthwiseConv2dGroupedConvBackpropFilterOp DepthwiseConv2dNativeBackpropFilter
QuantizedMatMulOp QuantizedMatMul
Conv3DCustomBackpropInputOp Conv3DBackpropInputV2
Conv3DBackpropInputOp Conv3DBackpropInputV2
Conv3DCustomBackpropFilterOp Conv3DBackpropFilterV2
Conv3DBackpropFilterOp Conv3DBackpropFilterV2
SetSizeOp SetSize
DenseToDenseSetOperationOp DenseToDenseSetOperation
DenseToSparseSetOperationOp DenseToSparseSetOperation
SparseToSparseSetOperationOp SparseToSparseSetOperation
SummaryAudioOp AudioSummary
SparseToDense SparseToDense
SparseToDenseGPU SparseToDense
GenerateVocabRemappingOp GenerateVocabRemapping
SummaryImageOp ImageSummary
RandomShuffleQueueOp RandomShuffleQueueV2
SwitchOp RefSwitch
SwitchNOp _SwitchN
RefSelectOp RefSelect
MergeOp RefMerge
EnterOp RefEnter
ExitOp RefExit
NextIterationOp RefNextIteration
LoopCondOp LoopCond
ControlTriggerOp ControlTrigger
AbortOp Abort
StringJoinOp StringJoin
RollOp Roll
DecodeCompressedOp DecodeCompressed
SerializeSparseOp SerializeSparse
SerializeManySparseOp SerializeManySparse
ReverseSequenceOp ReverseSequence
StringFormatOp StringFormat
SparseAddGradOp SparseAddGrad
SparseSliceOp SparseSlice
SimpleCandidateSamplerOp ThreadUnsafeUnigramCandidateSampler
AllCandidateSamplerOp AllCandidateSampler
FixedUnigramCandidateSamplerOp FixedUnigramCandidateSampler
ComputeAccidentalHitsOp ComputeAccidentalHits
SparseConcatOp SparseConcat
DecodePaddedRawOp DecodePaddedRaw
IdentityReaderOp IdentityReaderV2
RangeOp Range
LinSpaceOp LinSpace
RaggedTensorToSparseOp RaggedTensorToSparse
UnaryOpsComposition _UnaryOpsComposition
CudnnRNNParamsSizeOp CudnnRNNParamsSize
CudnnRNNParamsToCanonical CudnnRNNParamsToCanonicalV2
CudnnRNNCanonicalToParams CudnnRNNCanonicalToParamsV2
CudnnRNNForwardOp CudnnRNN
CudnnRNNForwardOpV2 CudnnRNNV2
CudnnRNNForwardOpV3 CudnnRNNV3
CudnnRNNBackwardOp CudnnRNNBackprop
CudnnRNNBackwardOpV2 CudnnRNNBackpropV2
CudnnRNNBackwardOpV3 CudnnRNNBackpropV3
AudioSpectrogramOp AudioSpectrogram
SplitVOpCPU SplitV
SplitVOpGPU SplitV
StringToHashBucketOp StringToHashBucketFast
TensorToHashBucketOp _TensorToHashBucketFast
EncodeProtoOp EncodeProto
StatelessRandomOp StatelessTruncatedNormal
StatelessRandomUniformFullIntOp StatelessRandomUniformFullInt
StatelessRandomUniformIntOp StatelessRandomUniformInt
GetKeyCounterAlgOp StatelessRandomGetKeyCounterAlg
GetKeyCounterOp StatelessRandomGetKeyCounter
GetAlgOp StatelessRandomGetAlg
SpaceToBatchNDOp SpaceToBatchND
SpaceToBatchOp SpaceToBatch
SobolSampleOp SobolSample
FusedMatMulOp _FusedMatMul
DenseCount DenseCountSparseOutput
SparseCount SparseCountSparseOutput
RaggedCount RaggedCountSparseOutput
SparseMatMulOp SparseMatMul
EncodeWavOp EncodeWav
ConditionalAccumulatorOp ConditionalAccumulator
ResourceConditionalAccumulatorOp ResourceConditionalAccumulator
AccumulatorApplyGradientOp AccumulatorApplyGradient
ResourceAccumulatorApplyGradientOp ResourceAccumulatorApplyGradient
AccumulatorTakeGradientOp AccumulatorTakeGradient
ResourceAccumulatorTakeGradientOp ResourceAccumulatorTakeGradient
